id,link,status
1,https://medlineplus.gov/genetics/condition/weaver-syndrome/,yet
2,https://medlineplus.gov/genetics/condition/malonyl-coa-decarboxylase-deficie,yet
3,https://medlineplus.gov/genetics/condition/stac3-disorder/,yet
4,https://medlineplus.gov/genetics/condition/laryngo-onycho-cutaneous-syndrome/,yet
5,https://medlineplus.gov/genetics/condition/milroy-disease/,yet
6,https://medlineplus.gov/genetics/condition/acrocallosal-syndrome/,yet
7,https://medlineplus.gov/genetics/condition/hypochromic-microcytic-anemia-wi,yet
8,https://medlineplus.gov/genetics/condition/noonan-syndrome/,yet
9,https://medlineplus.gov/genetics/condition/imerslund-grasbeck-syndrome/,yet
10,https://medlineplus.gov/genetics/condition/congenital-bilateral-absence-of-the,yet
11,https://medlineplus.gov/genetics/condition/factor-xi-deficiency/,yet
12,https://medlineplus.gov/genetics/condition/ankyloblepharon-ectodermal-defects-cleft-lip-palate-syndrome/,yet
13,https://medlineplus.gov/genetics/condition/phosphoglycerate-kinase-deficiency/,yet
14,https://medlineplus.gov/genetics/condition/monilethrix/,yet
15,https://medlineplus.gov/genetics/condition/fryns-syndrome/,yet
16,https://medlineplus.gov/genetics/condition/maple-syrup-urine-disease/,yet
17,https://medlineplus.gov/genetics/condition/septo-optic-dysplasia/,yet
18,https://medlineplus.gov/genetics/condition/achondrogenesis/,yet
19,https://medlineplus.gov/genetics/condition/congenital-hepatic-fibrosis/,yet
20,https://medlineplus.gov/genetics/condition/antiphospholipid-syndrome/,yet
21,https://medlineplus.gov/genetics/condition/autosomal-dominant-tubulointerstitial-kidney-disease-umod/,yet
22,https://medlineplus.gov/genetics/condition/mabry-syndrome/,yet
23,https://medlineplus.gov/genetics/condition/corticosterone-methyloxidase-defic,yet
24,https://medlineplus.gov/genetics/condition/ohdo-syndrome-maat-kievit-brunne,yet
25,https://pmc.ncbi.nlm.nih.gov/articles/PMC6879786/,yet
26,https://medlineplus.gov/genetics/condition/hartsfield-syndrome/,yet
27,https://medlineplus.gov/genetics/condition/hyperparathyroidism-jaw-tumor-syndrome/,yet
28,https://medlineplus.gov/genetics/condition/mitochondrial-neurogastrointestinal-encephalopathy-disease/,yet
29,https://medlineplus.gov/genetics/condition/infantile-onset-ascending-hereditar,yet
30,https://medlineplus.gov/genetics/condition/mandibulofacial-dysostosis-with-mi,yet
31,https://medlineplus.gov/genetics/condition/multiple-mitochondrial-dysfunction,yet
32,https://medlineplus.gov/genetics/condition/myasthenia-gravis/,yet
33,https://pubmed.ncbi.nlm.nih.gov/6283419/,yet
34,https://medlineplus.gov/genetics/condition/bannayan-riley-ruvalcaba-syndrom,yet
35,https://medlineplus.gov/genetics/condition/deafness-and-myopia-syndrome/,yet
36,https://medlineplus.gov/genetics/condition/leukoencephalopathy-with-brainstem-and-spinal-cord-involvement-and-lactate-elevation/,yet
37,https://medlineplus.gov/genetics/condition/x-linked-agammaglobulinemia/,yet
38,https://medlineplus.gov/genetics/condition/erdheim-chester-disease/,yet
39,https://medlineplus.gov/genetics/condition/klippel-trenaunay-syndrome/,yet
40,https://medlineplus.gov/genetics/condition/corticosteroid-binding-globulin-deficiency/,yet
41,https://medlineplus.gov/genetics/condition/kleefstra-syndrome/,yet
