id,link,status,working,status_code,status_abbreviation
1,https://ncbi.nlm.nih.gov/books/NBK571337,extracted,article,200,OK
2,https://pmc.ncbi.nlm.nih.gov/articles/PMC6020195,yet,Non-article,403,Forbidden
3,https://ncbi.nlm.nih.gov/books/NBK526072,extracted,article,200,OK
4,https://pmc.ncbi.nlm.nih.gov/articles/PMC8762786,yet,Non-article,403,Forbidden
5,https://pmc.ncbi.nlm.nih.gov/articles/PMC2875732,yet,Non-article,403,Forbidden
6,https://pmc.ncbi.nlm.nih.gov/articles/PMC7250635,yet,Non-article,403,Forbidden
7,https://pmc.ncbi.nlm.nih.gov/articles/PMC11678337,yet,Non-article,403,Forbidden
8,https://pmc.ncbi.nlm.nih.gov/articles/PMC7190441,yet,Non-article,403,Forbidden
9,https://pmc.ncbi.nlm.nih.gov/articles/PMC11204042,yet,Non-article,403,Forbidden
10,https://pmc.ncbi.nlm.nih.gov/articles/PMC8058608,yet,Non-article,403,Forbidden
11,https://pmc.ncbi.nlm.nih.gov/articles/PMC12675084,yet,Non-article,403,Forbidden
12,https://pmc.ncbi.nlm.nih.gov/articles/PMC11363501,yet,Non-article,403,Forbidden
13,https://pmc.ncbi.nlm.nih.gov/articles/PMC10866737,yet,Non-article,403,Forbidden
14,https://pmc.ncbi.nlm.nih.gov/articles/PMC10541273,yet,Non-article,403,Forbidden
15,https://pmc.ncbi.nlm.nih.gov/articles/PMC12287477,yet,Non-article,403,Forbidden
16,https://ncbi.nlm.nih.gov/books/NBK459368,extracted,article,200,OK
17,https://pmc.ncbi.nlm.nih.gov/articles/PMC6083537,yet,Non-article,403,Forbidden
18,https://pmc.ncbi.nlm.nih.gov/articles/PMC8829486,yet,Non-article,403,Forbidden
19,https://pmc.ncbi.nlm.nih.gov/articles/PMC3431581,yet,Non-article,403,Forbidden
20,https://pmc.ncbi.nlm.nih.gov/articles/PMC1839776,yet,Non-article,403,Forbidden
21,https://pmc.ncbi.nlm.nih.gov/articles/PMC2822144,yet,Non-article,403,Forbidden
22,https://pmc.ncbi.nlm.nih.gov/articles/PMC6962767,yet,Non-article,403,Forbidden
